Log for:/home/jrethore/fic_enseignement/fic_CISM/HANDS-ON/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2022-10-02T18:50:57Z
#=#=#=#=# Propagation starts 2022-10-02T18:50:57Z (last step: 191 msec , total: 191 msec) 
2022-10-02T18:56:40Z | DDI/prepare.m | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664617307 | ac3c287fa18c755a224608ba6467c8fd | 298 | 08665671oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 9553fa37-a41f-49e9-919c-d603fb033540 | 
2022-10-02T18:56:41Z | DDI/__pycache__/fem.cpython-39.pyc | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664657812 | 183e294d0d3c141652dbb730c6944a17 | 3502 | 08665673oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | ca7e2eaf-fcf1-4fd7-a0cb-a715739a2466 | 
2022-10-02T18:56:39Z | DDI/__pycache__ | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664657812 |  | 4096 | 08665670oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 73712cfb-c68c-4f2e-98a3-ef87f3705083 | 
2022-10-02T18:56:43Z | DDI/DDI_implementation.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664736236 | ff84207b610933453ac46b8d5fc28562 | 82364 | 08665674oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 476fcd5b-b8a3-408b-b338-fef3b97984b7 | 
2022-10-02T18:56:46Z | DDI/DDI_from_DIC.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664658917 | 1c1413a498dc747dd8d0b5547200929c | 264349 | 08665675oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 5ded8f26-1415-48bf-8455-47e97a2dc954 | 
2022-10-02T18:56:39Z | DDI | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664736236 |  | 4096 | 08665665oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 72f5f514-179c-4bba-a080-312e9a57d617 | 
2022-10-02T18:56:48Z | DIC/304.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662830550 | a75f8783e5cde97979eb5c0e9edb434e | 177421 | 08665676oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f9370f2b-8aca-4329-8f21-ba41518e783e | 
2022-10-02T18:57:02Z | DIC/FIG/IMG_0001.tif | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664521954 | eb02c0d91f9dae776453443625c16045 | 505708 | 08665677oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2fc289ec-cfd5-45c4-a305-1b16c8e1b4ce | 
2022-10-02T18:57:04Z | DIC/FIG/IMG_0018.tif | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664521964 | e9f68a203c3b6d60cf4f58dc3742bf74 | 503094 | 08665678oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b1e82590-d476-4036-a730-59d4a5acd89e | 
2022-10-02T18:57:07Z | DIC/FIG/Im0_Im1_red.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389434 | bcd12c3b73eff4da96bf75ab9e9e5260 | 131110 | 08665679oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 9f1d397f-22c8-42c5-bcfe-3fd11db2bdc1 | 
2022-10-02T18:57:14Z | DIC/DIC.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664464336 | 8266fab3fc01344559769172b460f66e | 896989 | 08665680oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | dca21daf-9937-4325-af65-3dd7068012c0 | 
2022-10-02T18:57:24Z | DIC/FIG/Im_red_1.bmp | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389440 | e52f7c28372d3a2871c27dc8f2c23463 | 251078 | 08665681oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 8ca47664-ac54-4efa-8746-abf5bf0e3599 | 
2022-10-02T18:57:36Z | DIC/FIG/Im_red_2.bmp | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389438 | b05a672a7c837dee52310484d80a227e | 251078 | 08665682oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 69377696-bb3e-4524-a335-5112cebad519 | 
 | DIC/FIG/b100001.bmp | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | -3600 |  | 263338 |  | OCC::SyncFileItem::SoftError | Fichier supprimé | 0 | 0 | 0 |  | 
 | DIC/FIG/b100090.bmp | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | -3600 |  | 263222 |  | OCC::SyncFileItem::SoftError | Fichier supprimé | 0 | 0 | 0 |  | 
 | DIC/FIG/tp-dic_00.tif | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | -3600 |  | 1057054 |  | OCC::SyncFileItem::SoftError | Fichier supprimé | 0 | 0 | 0 |  | 
 | DIC/FIG/tp-dic_01.tif | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | -3600 |  | 1053544 |  | OCC::SyncFileItem::SoftError | Fichier supprimé | 0 | 0 | 0 |  | 
2022-10-02T18:57:36Z | DIC/FIG/Im_1.bmp | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389476 | fd2151d42f8f79c910b4dccde1240d08 | 1001078 | 08665683oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b7d3badf-0abc-461b-befa-09a1f416b9e6 | 
2022-10-02T18:57:37Z | DIC/FIG/chess_board.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389422 | ff06534122b74ee046825e55e66b19f9 | 5527 | 08665684oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 941cffd2-0200-4026-96e5-2d5eb8da9e66 | 
2022-10-02T18:57:37Z | DIC/FIG/chess_board_frame.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389420 | e467e3b10ffe34004ff6c2470a32ecd0 | 11896 | 08665685oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2237ef31-f3d8-42c2-9af3-1ee3edab1bd3 | 
2022-10-02T18:57:37Z | DIC/FIG/fforme.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389424 | 574654644070abe2aa620f23ed047486 | 16143 | 08665686oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2ff0aa8a-9487-49b1-a0f0-a5faf3980216 | 
2022-10-02T18:57:38Z | DIC/FIG/Im_2.bmp | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389474 | 20ccc6d24e454133d662eca056c20bfd | 1001078 | 08665687oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | dbeb3e75-c936-45f2-ae49-b40063fc9414 | 
2022-10-02T18:56:41Z | DIC/FIG | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664522057 |  | 4096 | 08665672oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fd9660f8-f8f6-4e9a-b80e-3088757894af | 
 | DIC/IMG_0001.CR2 | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | -3600 |  | 15591497 |  | OCC::SyncFileItem::SoftError | Fichier supprimé | 0 | 0 | 0 |  | 
 | DIC/IMG_0018.CR2 | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | -3600 |  | 15543131 |  | OCC::SyncFileItem::SoftError | Fichier supprimé | 0 | 0 | 0 |  | 
2022-10-02T18:57:39Z | DIC/convert_im.m | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664521963 | e54fa5bb5abbc75b09576567f92649bd | 182 | 08665688oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 718da9e1-b306-457f-8664-b8bb64780242 | 
2022-10-02T18:57:47Z | DIC/FE-DIC+R+CG.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664655349 | 207f96cf69462cc08e32086868040781 | 276031 | 08665689oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 97984b7e-c960-4a60-8cfd-cd12e0b064fa | 
2022-10-02T18:57:48Z | FEMU/FEMU_from_FEM.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664658936 | 3c0e801d5767b5b2b7da901e858a02f9 | 334621 | 08665690oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fff0b27f-3c47-462c-92f5-0b2abf5da076 | 
2022-10-02T18:57:52Z | DIC/FE-DIC+R.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664463151 | fb669bc550ae822a3fdf988b9e1620fd | 416085 | 08665691oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 0da8220d-f5e6-40c8-ae26-ebec3e5cd3c9 | 
2022-10-02T18:56:39Z | DIC | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664655349 |  | 4096 | 08665666oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1a5283be-d8ce-43f1-806c-8f4846aac550 | 
